year,month,day,hour,NCP kW,CP kW,kWh
2018,1,5,8,"6,072","5,520","3,091,320"
year,month,day,hour,,,
2018,2,9,7,"5,736","4,992","2,480,208"
year,month,day,hour,,,
2018,3,15,8,"5,760","5,016","2,907,984"
year,month,day,hour,,,
2018,4,11,8,"5,112","4,488","2,524,296"
year,month,day,hour,,,
2018,5,14,18,"6,096","5,136","2,983,056"
year,month,day,hour,,,
2018,6,19,18,"6,384","6,000","3,228,240"
year,month,day,hour,,,
2018,7,2,18,"6,792","5,784","3,310,320"
year,month,day,hour,,,
2018,8,8,17,"7,512","6,408","3,499,848"
year,month,day,hour,,,
2017,9,28,17,"3,624","2,592","1,201,680"
year,month,day,hour,,,
2017,10,11,18,"5,304","5,136","2,308,992"
year,month,day,hour,,,
2017,11,28,7,"5,064","4,248","2,418,648"
year,month,day,hour,,,
2017,12,29,8,"5,592","5,592","2,765,712"
,,,,,,
year,month,day,hour,kW,,
2018,1,1,1,4056,,
2018,1,1,2,4152,,
2018,1,1,3,4200,,
2018,1,1,4,4272,,
2018,1,1,5,4344,,
2018,1,1,6,4608,,
2018,1,1,7,4728,,
2018,1,1,8,4680,,
2018,1,1,9,4584,,
2018,1,1,10,4512,,
2018,1,1,11,4416,,
2018,1,1,12,4296,,
2018,1,1,13,4152,,
2018,1,1,14,3984,,
2018,1,1,15,3936,,
2018,1,1,16,3912,,
2018,1,1,17,4032,,
2018,1,1,18,4416,,
2018,1,1,19,4560,,
2018,1,1,20,4560,,
2018,1,1,21,4632,,
2018,1,1,22,4632,,
2018,1,1,23,4608,,
2018,1,1,24,4536,,
2018,1,2,1,4416,,
2018,1,2,2,4320,,
2018,1,2,3,4296,,
2018,1,2,4,4464,,
2018,1,2,5,4704,,
2018,1,2,6,5088,,
2018,1,2,7,5712,,
2018,1,2,8,5856,,
2018,1,2,9,5880,,
2018,1,2,10,5616,,
2018,1,2,11,5448,,
2018,1,2,12,5280,,
2018,1,2,13,5064,,
2018,1,2,14,4800,,
2018,1,2,15,4704,,
2018,1,2,16,4608,,
2018,1,2,17,4824,,
2018,1,2,18,5208,,
2018,1,2,19,5448,,
2018,1,2,20,5592,,
2018,1,2,21,5712,,
2018,1,2,22,5880,,
2018,1,2,23,5544,,
2018,1,2,24,5472,,
2018,1,3,1,5280,,
2018,1,3,2,4992,,
2018,1,3,3,4872,,
2018,1,3,4,4920,,
2018,1,3,5,4944,,
2018,1,3,6,5208,,
2018,1,3,7,5784,,
2018,1,3,8,5928,,
2018,1,3,9,6072,,
2018,1,3,10,5784,,
2018,1,3,11,5496,,
2018,1,3,12,5304,,
2018,1,3,13,5016,,
2018,1,3,14,4896,,
2018,1,3,15,4944,,
2018,1,3,16,5040,,
2018,1,3,17,5088,,
2018,1,3,18,5208,,
2018,1,3,19,5232,,
2018,1,3,20,5208,,
2018,1,3,21,5160,,
2018,1,3,22,5328,,
2018,1,3,23,5088,,
2018,1,3,24,4920,,
2018,1,4,1,4536,,
2018,1,4,2,4248,,
2018,1,4,3,4248,,
2018,1,4,4,4272,,
2018,1,4,5,4368,,
2018,1,4,6,4632,,
2018,1,4,7,4656,,
2018,1,4,8,4608,,
2018,1,4,9,4488,,
2018,1,4,10,4296,,
2018,1,4,11,4272,,
2018,1,4,12,4176,,
2018,1,4,13,4080,,
2018,1,4,14,3912,,
2018,1,4,15,3912,,
2018,1,4,16,3960,,
2018,1,4,17,4176,,
2018,1,4,18,4560,,
2018,1,4,19,4752,,
2018,1,4,20,4824,,
2018,1,4,21,4800,,
2018,1,4,22,4848,,
2018,1,4,23,4752,,
2018,1,4,24,4512,,
2018,1,5,1,4416,,
2018,1,5,2,4416,,
2018,1,5,3,4416,,
2018,1,5,4,4512,,
2018,1,5,5,4608,,
2018,1,5,6,4920,,
2018,1,5,7,5424,,
2018,1,5,8,5520,,
2018,1,5,9,5568,,
2018,1,5,10,5760,,
2018,1,5,11,5784,,
2018,1,5,12,5616,,
2018,1,5,13,5328,,
2018,1,5,14,5160,,
2018,1,5,15,5088,,
2018,1,5,16,5016,,
2018,1,5,17,5088,,
2018,1,5,18,5496,,
2018,1,5,19,5520,,
2018,1,5,20,5544,,
2018,1,5,21,5616,,
2018,1,5,22,5616,,
2018,1,5,23,5328,,
2018,1,5,24,5136,,
2018,1,6,1,4848,,
2018,1,6,2,4752,,
2018,1,6,3,4848,,
2018,1,6,4,4944,,
2018,1,6,5,4992,,
2018,1,6,6,5016,,
2018,1,6,7,5040,,
2018,1,6,8,5016,,
2018,1,6,9,4896,,
2018,1,6,10,4728,,
2018,1,6,11,4608,,
2018,1,6,12,4464,,
2018,1,6,13,4200,,
2018,1,6,14,4056,,
2018,1,6,15,3984,,
2018,1,6,16,3960,,
2018,1,6,17,4176,,
2018,1,6,18,4560,,
2018,1,6,19,4704,,
2018,1,6,20,4872,,
2018,1,6,21,4920,,
2018,1,6,22,4920,,
2018,1,6,23,4848,,
2018,1,6,24,4632,,
2018,1,7,1,4632,,
2018,1,7,2,4776,,
2018,1,7,3,4968,,
2018,1,7,4,5232,,
2018,1,7,5,5376,,
2018,1,7,6,5400,,
2018,1,7,7,5688,,
2018,1,7,8,5712,,
2018,1,7,9,5640,,
2018,1,7,10,5544,,
2018,1,7,11,5352,,
2018,1,7,12,5016,,
2018,1,7,13,5160,,
2018,1,7,14,4920,,
2018,1,7,15,4728,,
2018,1,7,16,4728,,
2018,1,7,17,4824,,
2018,1,7,18,5184,,
2018,1,7,19,5424,,
2018,1,7,20,5472,,
2018,1,7,21,5520,,
2018,1,7,22,5520,,
2018,1,7,23,5424,,
2018,1,7,24,5376,,
2018,1,8,1,5160,,
2018,1,8,2,4848,,
2018,1,8,3,4752,,
2018,1,8,4,4872,,
2018,1,8,5,4944,,
2018,1,8,6,5256,,
2018,1,8,7,5712,,
2018,1,8,8,5952,,
2018,1,8,9,5856,,
2018,1,8,10,5472,,
2018,1,8,11,5184,,
2018,1,8,12,4968,,
2018,1,8,13,4800,,
2018,1,8,14,4584,,
2018,1,8,15,4368,,
2018,1,8,16,4512,,
2018,1,8,17,4584,,
2018,1,8,18,4920,,
2018,1,8,19,4944,,
2018,1,8,20,4872,,
2018,1,8,21,4968,,
2018,1,8,22,4776,,
2018,1,8,23,4392,,
2018,1,8,24,4272,,
2018,1,9,1,4104,,
2018,1,9,2,3960,,
2018,1,9,3,3744,,
2018,1,9,4,3672,,
2018,1,9,5,3648,,
2018,1,9,6,4008,,
2018,1,9,7,4536,,
2018,1,9,8,4824,,
2018,1,9,9,4704,,
2018,1,9,10,4440,,
2018,1,9,11,4296,,
2018,1,9,12,4176,,
2018,1,9,13,3960,,
2018,1,9,14,3840,,
2018,1,9,15,3792,,
2018,1,9,16,3816,,
2018,1,9,17,3888,,
2018,1,9,18,4032,,
2018,1,9,19,4296,,
2018,1,9,20,4488,,
2018,1,9,21,4536,,
2018,1,9,22,4608,,
2018,1,9,23,4464,,
2018,1,9,24,4296,,
2018,1,10,1,4104,,
2018,1,10,2,3792,,
2018,1,10,3,3600,,
2018,1,10,4,3600,,
2018,1,10,5,3600,,
2018,1,10,6,3816,,
2018,1,10,7,4440,,
2018,1,10,8,4584,,
2018,1,10,9,4608,,
2018,1,10,10,4416,,
2018,1,10,11,4392,,
2018,1,10,12,4176,,
2018,1,10,13,3912,,
2018,1,10,14,3816,,
2018,1,10,15,3768,,
2018,1,10,16,3816,,
2018,1,10,17,3864,,
2018,1,10,18,4128,,
2018,1,10,19,4392,,
2018,1,10,20,4416,,
2018,1,10,21,4464,,
2018,1,10,22,4416,,
2018,1,10,23,4032,,
2018,1,10,24,3792,,
2018,1,11,1,3528,,
2018,1,11,2,3384,,
2018,1,11,3,3360,,
2018,1,11,4,3432,,
2018,1,11,5,3552,,
2018,1,11,6,3864,,
2018,1,11,7,4464,,
2018,1,11,8,4632,,
2018,1,11,9,4416,,
2018,1,11,10,4296,,
2018,1,11,11,4176,,
2018,1,11,12,4008,,
2018,1,11,13,3912,,
2018,1,11,14,3528,,
2018,1,11,15,3480,,
2018,1,11,16,3432,,
2018,1,11,17,3432,,
2018,1,11,18,3528,,
2018,1,11,19,3720,,
2018,1,11,20,3744,,
2018,1,11,21,3672,,
2018,1,11,22,3672,,
2018,1,11,23,3384,,
2018,1,11,24,3096,,
2018,1,12,1,2856,,
2018,1,12,2,2736,,
2018,1,12,3,2784,,
2018,1,12,4,2880,,
2018,1,12,5,2856,,
2018,1,12,6,2976,,
2018,1,12,7,3264,,
2018,1,12,8,3216,,
2018,1,12,9,3120,,
2018,1,12,10,3144,,
2018,1,12,11,3168,,
2018,1,12,12,3072,,
2018,1,12,13,3024,,
2018,1,12,14,2976,,
2018,1,12,15,2928,,
2018,1,12,16,3024,,
2018,1,12,17,3072,,
2018,1,12,18,3168,,
2018,1,12,19,3120,,
2018,1,12,20,3120,,
2018,1,12,21,2976,,
2018,1,12,22,2952,,
2018,1,12,23,2760,,
2018,1,12,24,2592,,
2018,1,13,1,2520,,
2018,1,13,2,2568,,
2018,1,13,3,2472,,
2018,1,13,4,2448,,
2018,1,13,5,2448,,
2018,1,13,6,2496,,
2018,1,13,7,2568,,
2018,1,13,8,2592,,
2018,1,13,9,2784,,
2018,1,13,10,2928,,
2018,1,13,11,3024,,
2018,1,13,12,3072,,
2018,1,13,13,3024,,
2018,1,13,14,3000,,
2018,1,13,15,3120,,
2018,1,13,16,3264,,
2018,1,13,17,3312,,
2018,1,13,18,3456,,
2018,1,13,19,3624,,
2018,1,13,20,3552,,
2018,1,13,21,3504,,
2018,1,13,22,3528,,
2018,1,13,23,3552,,
2018,1,13,24,3624,,
2018,1,14,1,3528,,
2018,1,14,2,3624,,
2018,1,14,3,3648,,
2018,1,14,4,3720,,
2018,1,14,5,3768,,
2018,1,14,6,3912,,
2018,1,14,7,4056,,
2018,1,14,8,4200,,
2018,1,14,9,4272,,
2018,1,14,10,4200,,
2018,1,14,11,4056,,
2018,1,14,12,3912,,
2018,1,14,13,3792,,
2018,1,14,14,3600,,
2018,1,14,15,3432,,
2018,1,14,16,3432,,
2018,1,14,17,3648,,
2018,1,14,18,3984,,
2018,1,14,19,4200,,
2018,1,14,20,4320,,
2018,1,14,21,4248,,
2018,1,14,22,4224,,
2018,1,14,23,4080,,
2018,1,14,24,4080,,
2018,1,15,1,4008,,
2018,1,15,2,3984,,
2018,1,15,3,3960,,
2018,1,15,4,4032,,
2018,1,15,5,4104,,
2018,1,15,6,4464,,
2018,1,15,7,4848,,
2018,1,15,8,4632,,
2018,1,15,9,4608,,
2018,1,15,10,4704,,
2018,1,15,11,4392,,
2018,1,15,12,4128,,
2018,1,15,13,4032,,
2018,1,15,14,3816,,
2018,1,15,15,3600,,
2018,1,15,16,3552,,
2018,1,15,17,3744,,
2018,1,15,18,4008,,
2018,1,15,19,4272,,
2018,1,15,20,4248,,
2018,1,15,21,4248,,
2018,1,15,22,4344,,
2018,1,15,23,4176,,
2018,1,15,24,4176,,
2018,1,16,1,4032,,
2018,1,16,2,4032,,
2018,1,16,3,4008,,
2018,1,16,4,4008,,
2018,1,16,5,4128,,
2018,1,16,6,4560,,
2018,1,16,7,5304,,
2018,1,16,8,5472,,
2018,1,16,9,5304,,
2018,1,16,10,5208,,
2018,1,16,11,4896,,
2018,1,16,12,4704,,
2018,1,16,13,4392,,
2018,1,16,14,4224,,
2018,1,16,15,4320,,
2018,1,16,16,4272,,
2018,1,16,17,4200,,
2018,1,16,18,4464,,
2018,1,16,19,4728,,
2018,1,16,20,4776,,
2018,1,16,21,4800,,
2018,1,16,22,4920,,
2018,1,16,23,4728,,
2018,1,16,24,4512,,
2018,1,17,1,4080,,
2018,1,17,2,4032,,
2018,1,17,3,3984,,
2018,1,17,4,4104,,
2018,1,17,5,3960,,
2018,1,17,6,4056,,
2018,1,17,7,4464,,
2018,1,17,8,4320,,
2018,1,17,9,4320,,
2018,1,17,10,4152,,
2018,1,17,11,4176,,
2018,1,17,12,4248,,
2018,1,17,13,4224,,
2018,1,17,14,4272,,
2018,1,17,15,4296,,
2018,1,17,16,4224,,
2018,1,17,17,4272,,
2018,1,17,18,4368,,
2018,1,17,19,4416,,
2018,1,17,20,4296,,
2018,1,17,21,4272,,
2018,1,17,22,4296,,
2018,1,17,23,4248,,
2018,1,17,24,4176,,
2018,1,18,1,4104,,
2018,1,18,2,3984,,
2018,1,18,3,3936,,
2018,1,18,4,4056,,
2018,1,18,5,4104,,
2018,1,18,6,4440,,
2018,1,18,7,4608,,
2018,1,18,8,4656,,
2018,1,18,9,4728,,
2018,1,18,10,4824,,
2018,1,18,11,4992,,
2018,1,18,12,4752,,
2018,1,18,13,4584,,
2018,1,18,14,4248,,
2018,1,18,15,4104,,
2018,1,18,16,4224,,
2018,1,18,17,4392,,
2018,1,18,18,4824,,
2018,1,18,19,4992,,
2018,1,18,20,4992,,
2018,1,18,21,4968,,
2018,1,18,22,4896,,
2018,1,18,23,4800,,
2018,1,18,24,4728,,
2018,1,19,1,4560,,
2018,1,19,2,4152,,
2018,1,19,3,4128,,
2018,1,19,4,4080,,
2018,1,19,5,4200,,
2018,1,19,6,4584,,
2018,1,19,7,5136,,
2018,1,19,8,5184,,
2018,1,19,9,5136,,
2018,1,19,10,4848,,
2018,1,19,11,4680,,
2018,1,19,12,4608,,
2018,1,19,13,4056,,
2018,1,19,14,3936,,
2018,1,19,15,3984,,
2018,1,19,16,3888,,
2018,1,19,17,4032,,
2018,1,19,18,4272,,
2018,1,19,19,4584,,
2018,1,19,20,4536,,
2018,1,19,21,4368,,
2018,1,19,22,4392,,
2018,1,19,23,4296,,
2018,1,19,24,4272,,
2018,1,20,1,3888,,
2018,1,20,2,3744,,
2018,1,20,3,3720,,
2018,1,20,4,3768,,
2018,1,20,5,3768,,
2018,1,20,6,3912,,
2018,1,20,7,4344,,
2018,1,20,8,4464,,
2018,1,20,9,4464,,
2018,1,20,10,4224,,
2018,1,20,11,4008,,
2018,1,20,12,3720,,
2018,1,20,13,3624,,
2018,1,20,14,3432,,
2018,1,20,15,3384,,
2018,1,20,16,3432,,
2018,1,20,17,3552,,
2018,1,20,18,3672,,
2018,1,20,19,3984,,
2018,1,20,20,4104,,
2018,1,20,21,4176,,
2018,1,20,22,4128,,
2018,1,20,23,3936,,
2018,1,20,24,3816,,
2018,1,21,1,3576,,
2018,1,21,2,3504,,
2018,1,21,3,3456,,
2018,1,21,4,3576,,
2018,1,21,5,3576,,
2018,1,21,6,3648,,
2018,1,21,7,3696,,
2018,1,21,8,3648,,
2018,1,21,9,3648,,
2018,1,21,10,3312,,
2018,1,21,11,3168,,
2018,1,21,12,2952,,
2018,1,21,13,2808,,
2018,1,21,14,2664,,
2018,1,21,15,2664,,
2018,1,21,16,2688,,
2018,1,21,17,2664,,
2018,1,21,18,2736,,
2018,1,21,19,2904,,
2018,1,21,20,3048,,
2018,1,21,21,3168,,
2018,1,21,22,3144,,
2018,1,21,23,3024,,
2018,1,21,24,3000,,
2018,1,22,1,3000,,
